NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
032-0882-000,0603,CAP SCD X5R 0603 1uF 25V 20%,0.00241,Multi(5),Multi(5),P8E0-A-3,42,SCD,0603,-55degC..85degC
032-1036-000,0603,CAP PACHINKO X7R 0603 1.5nF +/-10.0% 50.0V,0.0033,C0603C152K5RACTU,Kemet,P8E0-B-2,999,PACHINKO,0603,-55degC..125degC
032-0352-000,0402,CAP AUTOMOTIVE C0G 0402 680.0pF +/-5.0% 50.0V,0.0023,GCM1555C1H681JA16D,Murata,P8E10,60,AUTOMOTIVE,0402,-55degC..125degC
035-0250-000,0201,CAP C0G 0201 8.2pF 50V 0.5pF,0.002,GRM0335C1H8R2DA01D,Murata,P8E0-B-2,30,CCM,0201,-55degC..125degC
115-2087-000,SC70_5,IC LOGIC Gates - AND - 2 input 74AHC1G08GW SC70-5,0.015,74AHC1G08GW,NXP,P8E0-B-1,84,CCM,SC70-5,-40.15degC..125.05degC
045-0169-000,CAP_SMD_066X066,CAP ALE SMD 100uF 20% 25V 6.3X7.7mm,0.061,EMZA250ADA101MF801~VERB,Nippon Chemi-Con,P8E8,71,CCM,SMD_D60,-55degC..105degC
195-2091-000,0201,RES SCD 0201 330K 5% 1/20W,0.0017,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
200-0104-000,RPAK_PAR_4_2010,RES PACK AUTOMOTIVE 8P 4R 2X1mm 25V 5% 1/16W 47K,0.0063,MA02J473-4G~VERB,Skywell,Compliance Unknown,98,AUTOMOTIVE,0402X4,-55degC..125degC
130-1033-000,IND_NONRKO_SMD_154X088_B,IND SMD_17x9 alloy 0.21 uH 20.0 % 30.0 A 1.55 mohm 0 0.0 Hz 0.0 Hz,0.52,EM-21BM87V01-NS1,TRIO,P8E0-A-2,63,CCM,SMD_17X9,-55.15degC..155.05degC
115-1271-000,BGA_0169_P040_059X058,IC POWER MANAGEMENT UNIT FOR PROCESSOR WCSP-169,3.04,PTPS65913B1CAYFFT,TI,P8E8,60,CCM,BGA169,[ ]..[ ]
316-0060-000,QFN016Q_P065_0047_T022X022,VREG SWITCH SYNCHRONOUS STEP-DOWN CONVERTER 2.7V TO 5.5V 4A QFN-16,0,ISL8045IRZ-T,Intersil,P7,111,CCM,MLFP16,-40.15degC..84.85degC
130-0821-000,IND_NONRKO_SMD_076X068,IND 7_6X7_6 Carbony Iron Powder 4.7uH 20.0% 5.5A 0.04ohm 0 0.0KHz 0.0MHz 0.0decibel,0.068,NP30H06034R7-030210,Magic,P8E0-A-2,35,CCM,7_6X7_6,-55.15degC..125.05degC
130-0363-000,0201,IND 0201 HIGH FREQUENCY FILM 2.0nH +/-0.1nH 600mA 0.15 OHM dcR MAX,0.00272,LQP03TN2N0B02D,Murata,P8E0-B-2,70,CCM,0201,-55degC..125degC
195-2118-000,0201,RES SCD 0201 47K 5% 1/20W,0.00046,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
130-0355-000,0201,IND 0201 HIGH FREQUENCY FILM 1.6nH +/-0.1nH 600mA 0.15 OHM dcR MAX,[ ],LQP03TN1N6B02D,Murata,P8E10,71,CCM,0201,-55degC..125degC
195-1175-000,0603,RES SCD 0603 1.8 5% 1/10W,0.0005,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
100-0230-000,IND_SMD_0402,FERRITE BEAD BEAD_0402 Ferrite 30.0 ohm 25.0 % 50.0 mohm 2.5 A,0.003,GMLB-100505-0030P-N8C-RT,Mag Layers,P8E0-A-2,63,CCM,BEAD_0402,-55degC..125.05degC
195-3451-000,0603,RES AUTOMOTIVE 0603 100kohm 1% 0.1W,0.00097,MCR03EZPFX1003,Rohm,P8E10,119,AUTOMOTIVE,0603,-55degC..155degC
115-1427-000,BGA_0896_P100_310X310,IC FPGA BGA896 5AGXMA3D4F31I3N,32.57,5AGXMA3D4F31I3N,Altera,P8E8,147,CCM,BGA896,-40degC..100degC
115-2084-000,QFN056Q_P040_0075_T057X057_VIAS,IC PROCESSOR CPU QFN56 CYBL10461-56LQXI CYBL10461,[ ],CYBL10461-56LQXI,Cypress,P8E0-A-2,60,UNRESTRICTED,QFN56,-40.15degC..84.85degC
315-0500-000,SO08_050X040_T035X028,VREG SYNCHRONOUS-RECTIFIED BUCK CONVERTER 12V 3A SOP-8P,0.155,APW7145KAI-TRG~VERA,Anpec,P8E1-7a-A-2,70,CCM,SOP8,-40degC..85degC
080-1500-000,CON_MINIPEX_075_SMT_RA_M2,Interconnect (SMD) CONN SMD M.2 TYPE FEMALE RA 67 POS 0.5MM PITCH KEY M,0,1-2199125-4,TE Connectivity,P8E10,999,CCM,SMD77_KEYM,Validation
130-0340-000,0201,IND 0201 HIGH-FREQUENCY FILM 12nH 3% 250mA 0.70 OHM dcR MAX,0.00272,LQP03TN12NH02D,Murata,P8E0-B-2,70,CCM,0201,-55degC..125degC
115-0996-000,XSOP08_P065_030X030,IC LOW POWER LEVEL TRANSLATING I2C-BUS/SMBUS REPEATER TSSOP-8,0.13,PCA9509ADP,NXP,P8E0-B-1,60,CCM,MSOP8,[ ]..[ ]
195-0148-000,0402,RES SCD 0402 200 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0026-000,0402,RES SCD 0402 110K 1% 1/16W,0.00021,Multi(10),Multi(10),P7,42,SCD,0402,-55degC..155degC
320-0156-000,led_th_ra_cover_light_pipe,LIGHTPIPE RoHS SINGLE STACKABLE RA SMD P790,0.43,Parameter N/A,Parameter N/A,ROHS,Parameter N/A,Parameter N/A,NOPIN,Parameter N/A
195-2064-000,0201,RES SCD 0201 2.2M 5% 1/20W,0.0009,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
115-2447-000,QFN100Q_P040_0120_T069X069,IC INTERFACE USB Hub QFN100 USB5807-I/KD,0,USB5807-I/KD,Microchip,P8E0-A-2,140,CCM,QFN100,-40degC..85degC
